Das kompositorische Werk Emanuel Vogts,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
ID,Datum,Titel,Genre/Dokument,Besetzung,"Original, Kopie",Bemerkung
392,,"EG 206 - Liebster Jesu, wir sind hier",Orgelsatz,Orgel,Original,
392a,,EG 207 - Nun schreib ins Buch…,Orgelsatz,Orgel,Original,
393,1992,"Komm, heilger Geist",Orgelsatz,Orgel,Original,
394,,EG - 96 - Du schöner Lebensbaum,Orgelsatz,Orgel,Kopie,
395,1980,Präludium a-moll,Orgelsatz,Orgel,Kopie,
396,1976,Präludium und Fughetta - g-moll,Orgelsatz,Orgel,Kopie,
397,1988,EG 364 - Was mein Gott will,Orgelsatz,Orgel,Kopie,
398,1984,Tritt hin aus Kreuz,Chorsatz,gem. Chor,Kopie,
399,1985,Ich wandelte unter den Bäiumen (Heine),Chorsatz,gem. Chor,Kopie,
400,1985,Morgens stehe ich auf und frage (Heine),Chorsatz,gem. Chor,Kopie,
401,1990,Wie soll ich dich empfangen,Chorsatz,gem. Chor,Original,
402,1989,"Mit Ernst, o Menschenleben",Chorsatz,gem. Chor,Original,
403,div.,Notenheft mit Entwürfen und Fragmenten,div.,div.,Original,Bleistift
404,,Ein kleines Kunststück,Orgelsatz,Orgel,Original,evt. Klavier
405,,"Psalm 91 - 1, 4, 5, 9, 11, 15a",Chorsatz,gem. Chor,Original,Bleistift (Entwurf)
406,,Psalm 73,Chorsatz,gem. Chor,Original,Bleistift (Entwurf)
406a,1985,Psalm 139,Chorsatz,gem. Chor,Original,Bleistift
407,1982,Psalm 130,Chorsatz,gem. Chor,Original,
408,,Reicht euch die Hand,Chorsatz,gem. Chor,Original,Text und Melodie von Frau Sigrid Stuhrmann erhalten
409,1993,Kommt singet dem Herrn.. (Cantai ao Senhor),Chorsatz,gem. Chor,Original,aus Brasilien
410,1992,"Psalm 104 - Lobe den Herrn, meine Seele",Chorsatz,gem. Chor,Original,"Bleistift, Für Karli und Heidi 1992"
411,,leer,,,,
412,1992,Psalm 150,Chorsatz,gem. Chor,Original,Bleistift (Entwurf)
413,1992,Du meine Seele singe,Chorsatz,gem. Chor,Original,
414,1993,Aller Anfang ist leicht,Klaviersatz,Klavier,Kopie,für Muttern zum neuen Anfang
415,2002,"Lied-Einleitung ""Mach hoch die Tür…""","Orgelsatz, Klaviersatz","Orgel, Piano",Original,"Für Rebekka Rohm geschrieben, damit sie es am Klavier und auf der Orgel (?) spielen kann.
 Von Emanuel Vogt, Altkantor und gewesener Orgelspieler in Windsbach am 16.11.2002"
416,1996,"Hör, Hör, hör, so singen Engelschör",Chorsatz,gem. Chor,Kopie,
417,,"Nun freut euch, lieben Christen g'mein",Notensatz,"gem. Chor, Bläser und Gemeinde",Kopie,Als Manuskript gedruckt in der Freimund-Druckerei Neuendettelsau - 21 Seiten
418,,dto.,dto.,dto.,Kopie,teilweise bearbeitet und kommentiert
419,1997,"EG 19 - O komm, o komm",Tonsatz,?,Kopie,
420,2001,Psalm 130 - Danket dem Herrn..,Chorsatz,gem. Chor,Kopie,
421,1977,Ach du liegst im Stall,Chorsatz,gem. Chor,Druck,
422,,Fröhliche Weihnacht überall (Weihnachtszyklus),Orgelsatz,"Orgel, Piano",Kopie,
423,,"Markus 10, 46 - 51",Chorsatz,gem. Chor,Kopie,
424,1995,Reicht euch die Hand,Chorsatz,gem. Chor,Original,
425,1988,Intonation - Soll ich meinem Gott nicht singen,Orgelsatz,Orgel,Kopie,Jubiläum Immeldorf
426,1968,Fürchtet euch nicht…,Chorsatz,Frauen,Druck,Verlag des evangelischen Sängerbundes
427,1993,Selig sind die Toten,Chorsatz,für drei gleiche Stimmen,Kopie,
428,1999/2000,Pfingstpsalm (Psalm 118),Chorsatz,gem. Chor,Kopie,
429,1998,"Psalm 139 - Erforsche mich, mein Gott",Chorsatz,Knabenchor,Kopie,
430,2005,Kommt her zu mir alle,Chorsatz,gem. Chor,Druck,Verlag Ilse Grünert
431,1974,"Psalm 24, 1 - 6",Chorsatz,Gemeinde,Kopie,
432,1998,Psalm 46,Chorsatz,Männer,Druck,Verlag?
433,1994,Psalm 57,Chorsatz,gem. Chor,Kopie,
434,1975,Psalm 24,Chorsatz,Gemeinde,Kopie,
435,,Psalm 84,"Chorsatz, Orgelsatz","Orgel, Gemeinde",Kopie,
436,1999/2000,Pfingstpsalm (Psalm 118),Chorsatz,gem. Chor,Kopie,
437,1999,Psalm 40,Chorsatz,Männer,Original,
438,,Psalm 40,Chorsatz,gem. Chor oder Frauen?,Kopie,"Felicitas Hässlein zur Verabschiedung der Chormutter und ""Seele"" des Chorbüros Felicitas Hässlein. Mit allen guten Wünschen gewidmet"
439,1999,Psalm 130,Chorsatz,gem. Chor,Kopie,für Heidi Beringer
440,1995,Psalm 130,Chorsatz,gem. Chor,Kopie,
441,2001,"Psalm 73, 23 -26",Chorsatz,gem. Chor,Druck,Verlag Ilse Grünert
442,1965,"Psalm 27, 1 - 6",Chorsatz,gem. Chor,Kopie,sehr alte Handschrift
443,1965,"Psalm 143, Ich breite meine Hände aus zu dir…",Chorsatz,"Männer?, gem. Chor?",Spirit-Karbon-Kopie,Anmerkung: einer seiner schönsten Vertonungen
444,1984,"Psalm 102, 1 - 8, 12 und 13",Chorsatz,Knabenchor,Kopie,für Karl Friedrich Beringer
445,1997,"Psalm 126, 3 und 5",Chorsatz,Männer,Kopie,"Umarbeitung des Psalms 126 der ""Windsbacher Psalmen"" für Männerchor in Form eines Solo-Psalms für Singstimme und Orgel et. alt."
446,1982,"Intrada zu Tochter Zion, freue Dich",Bläsersatz,Bläser,Kopie,
447,,"Orgel, Nun singet und seid froh…",Orgelsatz,Orgel,Kopie,
448,1984,Lied zum Karfreitag - Tritt hin ans Kreuz,Chorsatz,gem. Chor,Kopie,
449,,"Liebster Jesu, wir sind hier…",Orgelsatz,Orgel,Kopie,
450,,Jesus ist kommen…,Orgelsatz,Orgel,Kopie,
451,,"Lobet den Herrn, den mächtigen…",Orgelsatz,Orgel,Kopie,
452,,"Jesu, meine Zuversicht",Orgelsatz,Orgel,Kopie,
453,1978,"Selig, selig, selig…",Chorsatz,gem. Chor,Original,Bleistift-Manuskript
454,1978,Sei Lob…,Orgelsatz,Orgel,Original,Bleistift-Manuskript
455,1978,"Steht auf, ihr Lieben",Orgelsatz,Orgel,Original,Bleistift-Manuskript
456,1979,"Weißt Du, wieviel Sternlein…",Orgelsatz,Orgel,Kopie,
457,1979,Weil ich Jesu Schäflein bin - EKG 544,Orgelsatz,Orgel,Kopie,
458,,Nun werde hell,Chorsatz,gem. Chor,Kopie,
459,,Gib uns im Dunkel,Chorsatz,gem. Chor,Original,Bleistift-Manuskript
460,1984,So nimm denn meine Hände…,Orgelsatz,Orgel,Kopie,Begleitsatz
461,1979,Pfingst-Trio,Tonsatz,Drei Stimmen ad. lib.,Kopie,
462,1975,Gottes Sohn soll kommen,Chorsatz,gem. Chor,Kopie,
463,1975,Wie soll ich dich empfangen,Chorsatz,gem. Chor,Kopie,
464,1977,Und unser lieben Frauen,,,,"Bleistift, Entwurf"
465,1979,Es kommt ein Schiff geladen,Chorsatz,gem. Chor,Kopie,
466,1983,Nun danket alle Gott,Begleitsatz,Orgel,Kopie,
467,1979,Geh getrost,Notensatz,"Instr. ad. lib., Singstimme, Piano",Kopie,
468,1982,Herzlich tut mich erfreuen,Begleitsatz,Orgel,Kopie,
469,,Lob Gott getrost mit Singen,Orgelsatz,Orgel,Kopie,Intonation
470,1982,Herzlich tut mich erfreuen,Chorsatz,gem. Chor,Kopie,Vesper-Hymnus am 03.07.1982 (Luth. Lit. Konferenz Heilsbronn)
471,1990,Wird Christus tausendmal…,Chorsatz,gem. Chor,Original,
472,1998,Psalm 139,Chorsatz,Männer,Kopie,Zum 50. Geburtstag von Karl Friedrich Beringer. Umarbeitung des Gemischt-Chorsatzes füßr Männerchor
473,1973,Psalm 138,Chorsatz,gem. Chor,Kopie,
474,1975,Der Morgenstern ist aufgedrungen,Chorsatz,Männer,Kopie,
475,1990,Laudamus,Chorsatz,Männer,Original,Bleistift-Manuskript
476,1990,Laudamus,Chorsatz?,gem. Chor?,Original,"Bleistift-Manuskript, Laudamus 1990 für Herrn H. Brendel und seine Schrammler"
477,,Psalm 51,Chorsatz,gleiche Stimmen,Kopie,
478,1975,Wie soll ich dich empfangen,Chorsatz,gem. Chor,Kopie,
478a,1975,Gottes Sohn soll kommen,Chorsatz,gem. Chor,Kopie,
479,1989,Der Tag ist seiner Höhe nah,Chorsatz,gem. Chor,Kopie,
