category,folder,filename,filepath,file_type,file_size_bytes,file_size_mb,work_number
Werke,Werke 101 bis 120,116 - Es ist ein Schnee gefallen.pdf,files/Werke - außer Psalmen/Werke 101 bis 120/116 - Es ist ein Schnee gefallen.pdf,pdf,74320,0.07,116
Werke,Werke 101 bis 120,107 - Denn es ist Weihnachtszeit - Seiten 1 und 2.pdf,files/Werke - außer Psalmen/Werke 101 bis 120/107 - Denn es ist Weihnachtszeit - Seiten 1 und 2.pdf,pdf,137142,0.13,107
Werke,Werke 101 bis 120,119 - Horch wie die Schar der Engel singt.pdf,files/Werke - außer Psalmen/Werke 101 bis 120/119 - Horch wie die Schar der Engel singt.pdf,pdf,79305,0.08,119
Werke,Werke 101 bis 120,116a Gottes Sohn ist kommen.pdf,files/Werke - außer Psalmen/Werke 101 bis 120/116a Gottes Sohn ist kommen.pdf,pdf,77018,0.07,116a
Werke,Werke 101 bis 120,110 - Do drauß'n in der Nacht.pdf,files/Werke - außer Psalmen/Werke 101 bis 120/110 - Do drauß'n in der Nacht.pdf,pdf,12830,0.01,110
Werke,Werke 101 bis 120,103 - Komt her zu mir - Seiten 2 und 3.pdf,files/Werke - außer Psalmen/Werke 101 bis 120/103 - Komt her zu mir - Seiten 2 und 3.pdf,pdf,128785,0.12,103
Werke,Werke 101 bis 120,106 - Gottes neue Welt - Seiten 1 und 2.pdf,files/Werke - außer Psalmen/Werke 101 bis 120/106 - Gottes neue Welt - Seiten 1 und 2.pdf,pdf,90082,0.09,106
Werke,Werke 101 bis 120,103 - Kommt her zu mir... - Seite 1.pdf,files/Werke - außer Psalmen/Werke 101 bis 120/103 - Kommt her zu mir... - Seite 1.pdf,pdf,33007,0.03,103
Werke,Werke 101 bis 120,120 - Sei willkommen Jesulein.pdf,files/Werke - außer Psalmen/Werke 101 bis 120/120 - Sei willkommen Jesulein.pdf,pdf,92383,0.09,120
Werke,Werke 1021 - 1040,1021 - Evangelium zum Erntdanktag.pdf,files/Werke - außer Psalmen/Werke 1021 - 1040/1021 - Evangelium zum Erntdanktag.pdf,pdf,61339,0.06,1021
Werke,Werke 1021 - 1040,"1030 - Lobe den Herren, o meine Seele.pdf","files/Werke - außer Psalmen/Werke 1021 - 1040/1030 - Lobe den Herren, o meine Seele.pdf",pdf,34400,0.03,1030
Werke,Werke 1021 - 1040,1024 - Ohne Titel.pdf,files/Werke - außer Psalmen/Werke 1021 - 1040/1024 - Ohne Titel.pdf,pdf,39300,0.04,1024
Werke,Werke 1021 - 1040,1034 - Largo.pdf,files/Werke - außer Psalmen/Werke 1021 - 1040/1034 - Largo.pdf,pdf,39263,0.04,1034
Werke,Werke 1021 - 1040,1031 - Zeit zum Leben.pdf,files/Werke - außer Psalmen/Werke 1021 - 1040/1031 - Zeit zum Leben.pdf,pdf,53286,0.05,1031
Werke,Werke 1021 - 1040,1024 - Ohne Titel - Seite 2.pdf,files/Werke - außer Psalmen/Werke 1021 - 1040/1024 - Ohne Titel - Seite 2.pdf,pdf,39406,0.04,1024
Werke,Werke 1021 - 1040,1024 - Ohne Titel - Seite 3.pdf,files/Werke - außer Psalmen/Werke 1021 - 1040/1024 - Ohne Titel - Seite 3.pdf,pdf,42586,0.04,1024
Werke,Werke 1021 - 1040,1038 - Advents-Meditation 1983.pdf,files/Werke - außer Psalmen/Werke 1021 - 1040/1038 - Advents-Meditation 1983.pdf,pdf,90785,0.09,1038
Werke,Werke 1021 - 1040,"1027 - Christus, der ist mein Leben - 1028 - Wir danken dir... - 1029 - Liebster Jesu, wir sind hier.pdf","files/Werke - außer Psalmen/Werke 1021 - 1040/1027 - Christus, der ist mein Leben - 1028 - Wir danken dir... - 1029 - Liebster Jesu, wir sind hier.pdf",pdf,63820,0.06,1027
Werke,Werke 1021 - 1040,1036 - Zeuch ein zu deinem Thron.pdf,files/Werke - außer Psalmen/Werke 1021 - 1040/1036 - Zeuch ein zu deinem Thron.pdf,pdf,59775,0.06,1036
Werke,Werke 1021 - 1040,1033 - Plößberger Intrade.pdf,files/Werke - außer Psalmen/Werke 1021 - 1040/1033 - Plößberger Intrade.pdf,pdf,31706,0.03,1033
Werke,Werke 1021 - 1040,1032 - Exludium (Bläserteil).pdf,files/Werke - außer Psalmen/Werke 1021 - 1040/1032 - Exludium (Bläserteil).pdf,pdf,52110,0.05,1032
